,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
MYH10,377,1157,305,122,1114,1352,566,1421
MYH11,449,1688,493,219,964,1469,744,1773
MYH13,0,1,0,0,0,0,0,0
MYH14,107,269,89,31,293,499,196,392
MYH15,0,0,0,0,0,1,0,0
MYH2,73,13,2,39,0,2,34,560
MYH3,1,0,0,0,0,0,0,0
MYH4,978,548,37,641,9,20,987,16757
MYH6,0,0,1,0,2,1,0,3
MYH7,5,4,1,11,6,4,7,606
MYH7B,6,16,2,0,4,5,0,1
MYH8,3,10,2,1,5,7,3,14
MYH9,1674,5214,1604,649,4373,6064,1836,5456
MYL1,349,857,191,151,729,951,516,2961
MYL10,0,2,0,0,0,0,0,1
MYL12A,862,3304,761,331,2152,2991,1075,2913
MYL12B,389,1345,322,128,1116,1405,522,1435
MYL2,3,1,0,3,0,0,4,113
MYL3,4,14,2,1,2,5,1,56
MYL4,46,174,16,17,31,34,14,28
MYL6,1630,6225,1387,596,3829,5143,2136,5319
MYL6B,75,303,70,25,47,86,24,78
MYL7,0,0,0,0,0,0,0,0
MYL9,329,1275,307,140,372,554,256,724
MYLIP,294,867,167,85,549,703,247,714
MYLK,686,2249,694,240,843,1078,505,1347
MYLK2,20,6,0,4,0,2,18,267
MYLK3,0,1,0,0,1,0,0,1
MYLK4,8,6,2,3,4,11,16,158
MYLPF,108,66,6,41,18,23,128,1793
MYNN,175,572,139,55,481,549,256,614
MYO10,554,1638,493,165,1706,2263,844,2142
MYO15B,0,3,1,0,1,0,2,1
MYO16,0,0,0,0,1,0,0,0
MYO18A,1212,3912,908,394,1216,1421,574,1614
MYO18B,20,26,0,20,1,2,6,133
MYO19,397,1388,279,142,402,471,217,465
MYO1A,1,0,0,0,2,4,1,4
MYO1B,299,924,238,137,898,1325,497,1195
MYO1C,5028,14422,3658,1633,3853,5159,1878,4880
MYO1D,74,267,73,32,433,551,191,634
MYO1E,66,228,64,15,344,601,175,442
